Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17
Crisis Inverted,2888266564,"""6917529893420576979""",,Legendary,Hand Cannon,crucible,Energy,Arc,1800,,Range,1,Vault,false,false,5,16,,92,83,84,51,14,0,0,50,140,60,12,55,0,0,0,0,0,0,0,0,0,17,false,0,0,omolon,,,Adaptive Frame*,Hammer-Forged Rifling*,Smallbore,Appended Mag*,Armor-Piercing Rounds,Tunnel Vision*,Moving Target,Opening Shot*,Elemental Capacitor,Tier 1: Range*,One Quiet Moment*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,
Tigerspite,640114618,"""6917529804559509646""",,Legendary,Auto Rifle,dreaming,KineticSlot,Kinetic,1600,,Reload Speed,4,Vault,true,false,4,14,,83,44,29,69,16,0,0,53,450,59,33,40,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Precision Frame*,Extended Barrel,Smallbore*,Armor-Piercing Rounds,Flared Magwell*,Ambitious Assassin*,Demolitionist*,Burnished Dreams*,Counterbalance Stock*,Tier 4: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,
The Manticore,219145368,"""6917529901122990557""",,Exotic,Submachine Gun,seasonpass,Energy,Void,1789,,,,Vault,false,false,5,19,,100,65,15,46,15,0,0,78,900,30,38,73,0,0,0,0,0,0,0,0,0,30,false,0,122,veist,,,Soaring Fang*,Arrowhead Brake*,Ricochet Rounds*,Swooping Talons*,Fitted Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Deafening Whisper,981718087,"""6917529897378522239""",,Legendary,Grenade Launcher,wrathborn,Energy,Void,1800,,Blast Radius,10,Vault,false,false,4,12,,81,63,0,0,13,100,69,38,72,80,1,67,0,0,0,0,0,0,0,0,0,2,false,0,69,,,,Wave Frame*,Volatile Launch*,Linear Compensator,High-Velocity Rounds*,Implosion Rounds,Surplus*,Auto-Loading Holster*,Major Spec*,Masterworked: Blast Radius*,Kill Tracker*,Crucible Tracker,,,,,,,
The Inquisitor,2653171212,"""6917529901416674120""",,Legendary,Shotgun,trials,Energy,Arc,1810,,Stability,1,Vault,false,false,6,20,,60,35,70,83,12,0,0,66,70,52,6,66,0,0,0,0,0,0,0,0,0,5,false,0,0,suros,,,Pinpoint Slug Frame*,Extended Barrel*,Full Bore,Assault Mag*,Light Mag,Fourth Time's the Charm*,Adrenaline Junkie*,Tier 1: Stability*,Alacrity*,One Quiet Moment,Suros Synergy,Kill Tracker*,Crucible Tracker,,,,,
Throne-Cleaver,3371413059,"""6917529895339248088""",,Legendary,Sword,legendaryengram,Power,Solar,1800,,Impact,1,Vault,false,false,6,20,,0,0,71,0,0,0,0,0,0,0,55,0,0,0,0,10,80,50,70,0,0,0,false,0,0,,,,Aggressive Frame*,Enduring Blade*,Tempered Edge,Heavy Guard*,Unrelenting*,Valiant Charge*,Tier 1: Impact*,To Excess*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
Hung Jury SR4,3832743906,"""6917529901396168587""",,Legendary,Scout Rifle,nightfall,KineticSlot,Kinetic,1800,,Range,2,Vault,false,false,6,20,,75,67,62,51,22,0,0,75,180,46,16,55,0,0,0,0,0,0,0,0,0,29,false,0,0,omolon,,,Precision Frame*,Corkscrew Rifling*,Fluted Barrel,Steady Rounds*,Flared Magwell,Subsistence*,Box Breathing*,Tier 2: Range*,Stunning Recovery*,Vanguard's Vindication,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,
Throne-Cleaver,3371413059,"""6917529871015478631""",,Legendary,Sword,legendaryengram,Power,Solar,1751,,Impact,1,Vault,false,false,6,20,,0,0,73,0,0,0,0,0,0,0,52,0,0,0,0,10,80,50,70,0,0,0,false,0,0,,,,Aggressive Frame*,Hungry Edge*,Enduring Blade,Heavy Guard*,Energy Transfer*,Surrounded*,Tier 1: Impact*,To Excess*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
Spoiler Alert,2588048270,"""6917529811538368530""",,Legendary,Sidearm,legendaryengram,KineticSlot,Kinetic,1600,,Reload Speed,1,Vault,true,false,4,15,,100,70,43,22,12,0,0,45,360,62,15,80,0,0,0,0,0,0,0,0,0,12,false,0,0,,,,Lightweight Frame*,QuickDot SAS*,Target SAS,Extended Mag,Light Mag*,Killing Wind*,Swashbuckler*,Counterbalance Stock*,Tier 1: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,
Royal Executioner,1720503118,"""6917529892315937517""",,Legendary,Fusion Rifle,seasonpass,Energy,Solar,1800,,,,Vault,true,false,6,20,,83,43,70,41,15,0,0,35,0,32,7,20,660,0,0,0,0,0,0,0,0,6,true,13,864,,Strand,,Adaptive Frame*,Extended Barrel*,Enhanced Battery*,Grave Robber*,Swashbuckler*,Counterbalance Stock*,*,Noble Deeds*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Palmyra-B,3489657138,"""6917529871547330001""",,Legendary,Rocket Launcher,legendaryengram,Power,Stasis,1756,,Velocity,5,Vault,false,false,5,16,,95,62,0,0,20,35,54,45,15,22,1,53,0,0,0,0,0,0,0,0,0,5,false,0,10,hakke,,,Häkke Precision Frame*,Countermass*,Quick Launch,Black Powder*,Implosion Rounds,Auto-Loading Holster*,Adrenaline Junkie*,Tier 5: Velocity*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
The Inquisitor,2185327324,"""6917529825941286119""",,Legendary,Shotgun,trials,Energy,Arc,1600,,Range,4,Vault,true,false,5,18,,80,35,70,77,12,0,0,55,65,62,7,86,0,0,0,0,0,0,0,0,0,5,false,0,0,suros,,,Pinpoint Slug Frame*,Arrowhead Brake*,Fluted Barrel,Tactical Mag*,Steady Rounds,Subsistence*,Opening Shot*,Tier 4: Range*,Alacrity*,One Quiet Moment,Suros Synergy,Kill Tracker*,Crucible Tracker,,,,,
Circular Logic,2187717691,"""6917529872191635229""",,Legendary,Machine Gun,neomuna,Power,Strand,1761,,Range,2,Vault,false,false,6,20,,90,59,41,57,16,0,0,33,450,50,53,48,0,0,0,0,0,0,0,0,0,11,false,0,0,,,,Adaptive Frame*,Extended Barrel*,Hammer-Forged Rifling,Armor-Piercing Rounds*,Flared Magwell,Offhand Strike*,Eye of the Storm*,Tier 2: Range*,Nanotech Tracer Rockets*,Kill Tracker*,Crucible Tracker,,,,,,,
The Title,3559361670,"""6917529901384587434""",,Legendary,Submachine Gun,events,Energy,Void,1800,,Range,5,Vault,false,false,6,20,Guardian Games,85,32,22,45,15,0,0,30,750,23,30,48,0,0,0,0,0,0,0,0,0,21,false,0,0,hakke,,,Aggressive Frame*,Polygonal Rifling*,Smallbore,Appended Mag*,Armor-Piercing Rounds,Shot Swap*,Rangefinder*,Tier 5: Range*,Classy Contender*,Hakke Breach Armaments,Kill Tracker*,Crucible Tracker,,,,,,
Throne-Cleaver,3371413059,"""6917529895349797736""",,Legendary,Sword,legendaryengram,Power,Solar,1800,,Impact,2,Vault,false,false,6,20,,0,0,71,0,0,0,0,0,0,0,55,0,0,0,0,10,80,50,70,0,0,0,false,0,0,,,,Aggressive Frame*,Enduring Blade*,Honed Edge,Heavy Guard*,Duelist's Trance*,Valiant Charge*,Tier 2: Impact*,To Excess*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
Reed's Regret,1399243961,"""6917529828761554134""",,Legendary,Linear Fusion Rifle,trials,Power,Stasis,1600,,Reload Speed,3,Vault,true,false,5,16,,86,66,41,45,25,0,0,58,0,31,6,26,533,0,0,0,0,0,0,0,0,14,false,0,0,,,,Precision Frame*,Chambered Compensator*,Extended Barrel,Enhanced Battery*,Particle Repeater,Triple Tap*,Focused Fury*,Tier 3: Reload Speed*,Alacrity*,One Quiet Moment,Veist Stinger,Kill Tracker*,Crucible Tracker,,,,,
Nameless Midnight,996109059,"""6917529899791008700""",,Legendary,Scout Rifle,strikes,KineticSlot,Kinetic,1800,,Handling,3,Vault,false,false,6,20,,89,62,62,40,20,0,0,48,180,44,18,39,0,0,0,0,0,0,0,0,0,10,false,0,61,,,,Precision Frame*,Chambered Compensator*,Hammer-Forged Rifling,Appended Mag*,Tactical Mag,Triple Tap*,Keep Away,Kinetic Tremors*,Tier 3: Handling*,Vanguard's Vindication*,Kill Tracker*,Crucible Tracker,,,,,,
Buzzard,213264394,"""6917529899066609103""",,Legendary,Sidearm,nightfall,KineticSlot,Kinetic,1809,,Stability,2,Vault,false,false,6,20,,94,89,49,56,12,0,0,59,300,30,15,46,0,0,0,0,0,0,0,0,0,12,false,0,13,,,,Adaptive Frame*,Arrowhead Brake,Full Bore*,High-Caliber Rounds*,Flared Magwell,Perpetual Motion*,Rangefinder*,Tier 2: Stability*,Stunning Recovery*,Vanguard's Vindication,Kill Tracker*,Crucible Tracker,,,,,,
Forgiveness,2345794502,"""6917529835641477496""",,Legendary,Sidearm,trials,Energy,Arc,1600,,Reload Speed,10,Vault,true,false,5,17,,100,90,56,75,12,0,0,51,325,34,25,29,0,0,0,0,0,0,0,0,0,40,false,0,0,,,,Aggressive Burst*,Extended Barrel*,Full Bore,Extended Mag,Ricochet Rounds*,Well-Rounded*,Adrenaline Junkie*,Icarus Grip*,Masterworked: Reload Speed*,Alacrity*,One Quiet Moment,Kill Tracker*,Crucible Tracker,,,,,
Regnant,268260372,"""6917529872532218823""",,Legendary,Grenade Launcher,seasonpass,Power,Void,1768,,,,Vault,false,false,6,20,,74,61,0,0,13,65,23,47,120,39,6,35,0,0,0,0,0,0,0,0,0,14,false,0,3,,,,Adaptive Frame*,Volatile Launch*,Linear Compensator,Spike Grenades*,Mini Frags,Envious Assassin*,Destabilizing Rounds*,Noble Deeds*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
The Third Axiom,4156253727,"""6917529871547330578""",,Legendary,Pulse Rifle,strikes,Energy,Arc,1757,,Reload Speed,2,Vault,false,false,4,13,,99,66,29,64,18,0,0,55,390,48,36,37,0,0,0,0,0,0,0,0,0,10,false,0,10,,,,Adaptive Frame*,Extended Barrel*,Full Bore,High-Caliber Rounds*,Light Mag,Genesis*,Thresh*,Counterbalance Stock*,Tier 2: Reload Speed*,Vanguard's Vindication*,Kill Tracker*,Crucible Tracker,,,,,,
Twilight Oath,3297863558,"""6917529839103517815""",,Legendary,Sniper Rifle,dreaming,Energy,Solar,1600,,Reload Speed,1,Vault,true,false,4,14,,59,70,55,47,35,0,0,36,140,59,5,65,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Rapid-Fire Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Accurized Rounds*,Steady Rounds,Opening Shot*,Kill Clip*,Burnished Dreams*,Tier 1: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,
Tarnished Mettle,2218569744,"""6917529810199071295""",,Legendary,Scout Rifle,plunder,Energy,Arc,1600,,Range,2,Vault,true,false,5,18,,77,73,60,42,20,0,0,38,200,68,16,56,0,0,0,0,0,0,0,0,0,18,false,0,146,,,,Lightweight Frame*,Extended Barrel*,Polygonal Rifling,Extended Mag,Flared Magwell*,Demolitionist*,Eye of the Storm*,Counterbalance Stock*,Tier 2: Range*,Right Hook*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
IKELOS_SR_v1.0.3,2302346155,"""6917529874151179200""",,Legendary,Sniper Rifle,rasputin,Energy,Solar,1769,,Stability,1,Vault,false,false,5,19,,87,73,55,30,45,0,0,45,140,67,7,77,0,0,0,0,0,0,0,0,0,4,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Smallbore,Tactical Mag*,Flared Magwell,Fourth Time's the Charm*,Slickdraw*,Tier 1: Stability*,Rasputin's Arsenal*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Taraxippos,1389546626,"""6917529901407941116""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Handling,10,Vault,false,false,6,20,Guardian Games,64,75,60,40,19,0,0,52,200,59,15,74,0,0,0,0,0,0,0,0,0,13,false,0,0,omolon,,,Lightweight Frame*,Chambered Compensator*,Polygonal Rifling,Accurized Rounds*,Tactical Mag,Zen Moment*,Gutshot Straight,Cascade Point*,Hatchling,Masterworked: Handling*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,
Taraxippos,1389546626,"""6917529899300267963""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Reload Speed,2,Vault,true,false,6,20,Guardian Games,84,75,60,25,19,0,0,57,200,61,15,79,0,0,0,0,0,0,0,0,0,20,false,0,0,omolon,,,Lightweight Frame*,Arrowhead Brake*,Chambered Compensator,Steady Rounds*,Flared Magwell,No Distractions*,Keep Away*,Tier 2: Reload Speed*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,,
Interference VI,2257180473,"""6917529187759376656""",,Legendary,Grenade Launcher,legendaryengram,Power,Arc,1600,,Handling,1,Vault,true,false,3,10,,66,61,0,0,13,65,24,48,120,40,6,36,0,0,0,0,0,0,0,0,0,6,false,0,0,hakke,,,Adaptive Frame*,Volatile Launch*,Linear Compensator,Spike Grenades*,Alloy Casing,Auto-Loading Holster*,Full Court*,Tier 1: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,
Ammit AR2,2119346509,"""6917529874660171759""",,Legendary,Auto Rifle,legendaryengram,Energy,Solar,1775,,Range,1,Vault,false,false,5,18,,81,44,29,62,17,0,0,55,450,18,38,41,0,0,0,0,0,0,0,0,0,30,false,0,0,omolon,,,Precision Frame*,Chambered Compensator*,Hammer-Forged Rifling,Extended Mag*,Ricochet Rounds,Dynamic Sway Reduction*,Incandescent*,Tier 1: Range*,Omolon Fluid Dynamics*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Basso Ostinato,2573900604,"""6917529874189848142""",,Legendary,Shotgun,neomuna,Energy,Void,1767,,Range,1,Vault,false,false,6,20,,70,67,65,37,12,0,0,27,140,43,8,25,0,0,0,0,0,0,0,0,0,13,false,0,0,,,,Rapid-Fire Frame*,Rifled Barrel*,Smoothbore,Extended Mag*,Light Mag,Grave Robber*,Opening Shot*,Tier 1: Range*,Nanotech Tracer Rockets*,Kill Tracker*,Crucible Tracker,,,,,,,
Memory Interdict,3165547384,"""6917529895998934821""",,Legendary,Grenade Launcher,legendaryengram,Power,Void,1800,,Handling,5,Vault,false,false,4,14,,71,58,0,0,13,60,18,53,120,22,7,47,0,0,0,0,0,0,0,0,0,6,false,0,0,omolon,,,Adaptive Frame*,Confined Launch*,Linear Compensator,Augmented Drum*,High-Velocity Rounds,Quickdraw*,Danger Zone*,Tier 5: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,
Wishbringer,3356526253,"""6917529840451643485""",,Legendary,Shotgun,crucible,Energy,Solar,1600,,Handling,1,Vault,true,false,3,11,,43,68,65,30,12,0,0,41,140,48,7,43,0,0,0,0,0,0,0,0,0,2,false,0,0,fotc,,,Rapid-Fire Frame*,Smoothbore,Barrel Shroud*,Appended Mag*,Steady Rounds,Slideshot*,Opening Shot*,Crucible Legacy*,Tier 1: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,
Arbalest,2130065553,"""6917529825535184769""",,Exotic,Linear Fusion Rifle,,KineticSlot,Kinetic,1600,,,,Vault,true,false,2,6,,87,31,41,56,25,0,0,55,0,28,5,20,533,0,0,0,0,0,0,0,0,12,false,0,0,,,,Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Winterbite,3118061004,"""6917529873481913528""",,Exotic,Glaive,neomuna,Power,Stasis,1773,,,,Vault,false,false,6,20,,0,81,95,85,0,0,0,0,45,5,3,0,0,0,0,0,0,0,0,0,39,10,false,0,5,,,,Big Frigid Glaive*,Supercooled Accelerator*,Alloy Magazine*,Weighted Edge*,Tilting at Windmills*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
The Immortal,4039572196,"""6917529901734387073""",,Legendary,Submachine Gun,trials,KineticSlot,Strand,1800,,Handling,2,Vault,false,false,6,20,,96,39,22,50,14,0,0,30,750,30,28,65,0,0,0,0,0,0,0,0,0,25,false,0,0,,,,Aggressive Frame*,Corkscrew Rifling*,Fluted Barrel,Extended Mag,High-Caliber Rounds*,Surplus*,Target Lock*,Tier 2: Handling*,Alacrity*,One Quiet Moment,Field-Tested,Kill Tracker*,Crucible Tracker,,,,,
Regnant,268260372,"""6917529872520305904""",,Legendary,Grenade Launcher,seasonpass,Power,Void,1600,,,,Vault,false,false,6,20,,74,61,0,0,13,65,23,47,120,39,6,35,0,0,0,0,0,0,0,0,0,14,false,0,0,,,,Adaptive Frame*,Volatile Launch*,Smart Drift Control,Proximity Grenades,Spike Grenades*,Auto-Loading Holster*,Unrelenting*,Noble Deeds*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,,
Legal Action II,3409645497,"""6917529881676198321""",,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Kinetic,1800,,Reload Speed,5,Vault,false,false,4,15,,100,32,33,62,22,0,0,48,340,18,37,34,0,0,0,0,0,0,0,0,0,20,false,0,0,,,,High-Impact Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Extended Mag*,Alloy Magazine,Moving Target*,Rampage*,Major Spec*,Tier 5: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,
Typhon GL5,3568377122,"""6917529874644665353""",,Legendary,Grenade Launcher,legendaryengram,Power,Stasis,1774,,Blast Radius,2,Vault,false,false,5,16,,80,60,0,0,13,52,35,52,120,25,7,52,0,0,0,0,0,0,0,0,0,12,false,0,0,omolon,,,Adaptive Frame*,Countermass*,Hard Launch,Augmented Drum*,High-Explosive Ordnance,Genesis*,Chill Clip*,Tier 2: Blast Radius*,Omolon Fluid Dynamics*,Kill Tracker*,Crucible Tracker,,,,,,,
Taraxippos,1389546626,"""6917529897662424044""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Range,1,Vault,false,false,6,20,Guardian Games,64,75,60,31,19,0,0,52,200,59,17,64,0,0,0,0,0,0,0,0,0,13,false,0,138,omolon,,,Lightweight Frame*,Chambered Compensator*,Full Bore,Appended Mag*,Tactical Mag,Moving Target*,Explosive Payload*,Tier 1: Range*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,,
Firefright,2778013407,"""6917529875177182401""",,Legendary,Auto Rifle,haunted,KineticSlot,Kinetic,1600,,Range,1,Vault,true,false,5,17,,61,38,29,59,17,0,0,46,450,44,34,56,0,0,0,0,0,0,0,0,0,17,false,0,0,,,,Precision Frame*,Fluted Barrel*,Smallbore,Alloy Magazine*,Light Mag,Threat Detector*,Focused Fury*,Tier 1: Range*,Extrovert*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Whistler's Whim,3165143747,"""6917529901745965422""",,Legendary,Combat Bow,trials,KineticSlot,Kinetic,1810,,"Draw Time, Charge Time",1,Vault,false,false,6,20,,60,74,68,0,18,0,0,69,0,60,0,71,0,616,53,0,0,0,0,0,0,19,false,0,0,veist,,,Lightweight Frame*,High Tension String*,Polymer String,Carbon Arrow Shaft*,Helical Fletching,Killing Wind*,Opening Shot*,Tier 1: Draw Time*,Alacrity*,One Quiet Moment,Veist Stinger,Kill Tracker*,Crucible Tracker,,,,,
Rapacious Appetite,1081724548,"""6917529903678666590""",,Legendary,Submachine Gun,dungeon,KineticSlot,Stasis,1800,,Handling,4,Vault,false,false,6,21,,100,27,22,48,14,0,0,26,750,22,27,52,0,0,0,0,0,0,0,0,0,18,false,0,0,,,,Aggressive Frame*,Chambered Compensator*,Extended Barrel,Ricochet Rounds*,Flared Magwell,Perpetual Motion*,Harmony*,Tier 4: Handling*,Kill Tracker*,Crucible Tracker,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*,,,,
Leviathan's Breath,2591746970,"""6917529798730804005""",,Exotic,Combat Bow,,Power,Void,1600,,,,Vault,true,false,3,8,,75,66,60,0,20,0,0,5,0,0,0,0,0,1328,84,0,0,0,0,0,0,17,false,0,0,,,,Big-Game Hunter*,Chain Bowstring*,Fiberglass Arrow Shaft*,Leviathan's Sigh*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Ticuu's Divination,3260753130,"""6917529895420683343""",,Exotic,Combat Bow,,Energy,Solar,1807,,,,Vault,false,false,4,13,,60,79,68,0,18,0,0,62,0,60,0,66,0,580,47,0,0,0,0,0,0,23,false,0,0,,,,Sacred Flame*,Tactile String*,Straight Fletching*,Causality Arrows*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Rapacious Appetite,1081724548,"""6917529903416963437""",,Legendary,Submachine Gun,dungeon,KineticSlot,Stasis,1800,,Stability,5,Vault,false,false,6,21,,94,27,22,53,14,0,0,11,750,22,29,53,0,0,0,0,0,0,0,0,0,18,false,0,0,,,,Aggressive Frame*,Hammer-Forged Rifling*,Smallbore,Appended Mag*,Flared Magwell,Fourth Time's the Charm*,Target Lock*,Tier 5: Stability*,Kill Tracker*,Crucible Tracker,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*,,,,
Taraxippos,1389546626,"""6917529899744609908""",keep,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Range,10,Vault,true,false,6,20,Guardian Games,54,75,60,45,19,0,0,47,200,39,18,74,0,0,0,0,0,0,0,0,0,23,false,0,0,omolon,,,Lightweight Frame*,Corkscrew Rifling*,Smallbore,Extended Mag*,Alloy Magazine,Zen Moment*,Gutshot Straight,Explosive Payload*,Masterworked: Range*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,
Last Perdition,188882152,"""6917529900983463965""",,Legendary,Pulse Rifle,crucible,Energy,Void,1600,,Range,1,Vault,false,false,3,11,,63,60,29,35,17,0,0,74,390,42,38,53,0,0,0,0,0,0,0,0,0,17,false,0,0,suros,,,Adaptive Frame*,SLO-12 Post*,SPO-26 Front,Steady Rounds*,Alloy Magazine,Rangefinder*,Kill Clip*,Tier 1: Range*,Kill Tracker*,Crucible Tracker,,,,,,,,
Devil's Ruin,3824106094,"""6917529808135082725""",,Exotic,Sidearm,,Energy,Solar,1600,,,,Vault,true,false,3,9,,100,56,49,60,12,0,0,65,300,15,15,39,1000,0,0,0,0,0,0,0,0,23,false,0,0,,,,Close the Gap*,Extended Barrel*,Projection Fuse*,Pyrogenesis*,Combat Grip*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Rapacious Appetite,1081724548,"""6917529903725514414""",,Legendary,Submachine Gun,dungeon,KineticSlot,Stasis,1810,,Handling,2,Vault,false,false,6,21,,94,27,22,43,14,0,0,16,750,2,30,55,0,0,0,0,0,0,0,0,0,28,false,0,0,,,,Aggressive Frame*,Polygonal Rifling*,Smallbore,Extended Mag*,Ricochet Rounds,Perpetual Motion*,Cascade Point*,Tier 2: Handling*,Kill Tracker*,Crucible Tracker,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*,,,,
Gridskipper,1621558458,"""6917529875718429818""",,Legendary,Pulse Rifle,servitor,Energy,Void,1600,,Handling,1,Vault,true,false,4,14,,100,80,23,38,18,0,0,47,540,35,35,38,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Full Bore,Armor-Piercing Rounds*,Light Mag,Tunnel Vision*,High-Impact Reserves*,Counterbalance Stock*,Tier 1: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,
Taraxippos,1389546626,"""6917529897121295064""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Handling,1,Vault,false,false,6,20,Guardian Games,64,75,60,25,19,0,0,67,200,59,15,65,0,0,0,0,0,0,0,0,0,20,false,0,0,omolon,,,Lightweight Frame*,Chambered Compensator*,Smallbore,Steady Rounds*,Flared Magwell,Zen Moment*,Focused Fury*,Tier 1: Handling*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,,
Bite of the Fox,1403800851,"""6917529881696118842""",,Legendary,Sniper Rifle,ironbanner,KineticSlot,Kinetic,1799,,Range,1,Vault,false,false,6,20,,68,46,90,71,43,0,0,25,72,25,4,40,0,0,0,0,0,0,0,0,0,4,false,0,13,,,,Aggressive Frame*,Fluted Barrel*,Polygonal Rifling,Appended Mag*,Flared Magwell,Snapshot Sights*,Moving Target*,Targeting Adjuster*,Tier 1: Range*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,
Polaris Lance,3413074534,"""6917529844700823099""",,Exotic,Scout Rifle,,Energy,Solar,1800,,,10,Vault,true,false,1,3,,97,39,67,77,21,0,0,72,150,43,15,24,0,0,0,0,0,0,0,0,0,27,false,0,417,,,,The Perfect Fifth*,Smallbore*,Tactical Mag*,Zen Moment*,Fitted Stock*,Polaris Lance Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Shayura's Wrath,3682803680,"""6917529877705277450""",,Legendary,Submachine Gun,trials,Energy,Void,1794,,Stability,2,Vault,false,false,5,16,,100,60,25,69,15,0,0,46,600,24,30,37,0,0,0,0,0,0,0,0,0,25,false,0,9,,,,Precision Frame*,Arrowhead Brake*,Smallbore,Accurized Rounds*,Flared Magwell,Perpetual Motion*,Adrenaline Junkie*,Backup Mag*,Tier 2: Stability*,Alacrity*,One Quiet Moment,Kill Tracker*,Crucible Tracker,,,,,
Half-Truths,3257091166,"""6917529822393553650""",,Legendary,Sword,30th,Power,Arc,1600,,Impact,4,Vault,true,false,4,15,,0,0,60,0,0,0,0,0,0,0,70,0,0,0,0,20,100,100,0,40,0,0,false,0,97,,,,Adaptive Frame*,Enduring Blade*,Honed Edge,Tempered Edge,Burst Guard*,Swordmaster's Guard,Duelist's Trance*,Eager Edge*,Backup Mag*,Tier 5: Impact*,Hot Swap*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
